,owner,repo,commit_sha,source
134,amauryfischer,Auto-GPT-WebUI,cea68df18f309b094912bdaa6ce2cd484dca5a13,Shao_Dataset.csv
135,arc53,DocsGPT,744d4ebbaf4349444d8d361593c4c04652c6c54b,Shao_Dataset.csv
136,arndvs,gpt4-langchain-ingest-api-data-private-chroma-aws,5259ae39cd23892c3d0030b98ae99148fb5b7284,Shao_Dataset.csv
137,benjaminearlevans,Chatgpt-babyagi-plugin,771a5ba6e6b69c30020da7a139ccec868b4a3dc7,Shao_Dataset.csv
34,bentoml,OpenLLM,,Own_Extracted_Dataset.xlsx
35,bigscience-workshop,petals,,Own_Extracted_Dataset.xlsx
138,blu3mo,scrapchat,ce78a875399b069d3d5c44c738cb10fb3704c0fd,Shao_Dataset.csv
139,c0sogi,LLMChat,b0fe554ca2327d2dc43dc819934b7973e662ffdb,Shao_Dataset.csv
140,c121914yu,FastGPT,2ae8d43216d4e6fb739143c3cc12285fed048596,Shao_Dataset.csv
141,camel-ai,camel,71d466d9d67d1d7230ebfa1be6db95f5c53e38d9,Shao_Dataset.csv
142,catid,Supercharger-Auto-GPT,2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,Shao_Dataset.csv
143,chatchat-space,Langchain-Chatchat,bc7f01925fe49c622cf7d6e2540c03fd5a0679e1,Shao_Dataset.csv
144,chenhunghan,code-review-private-ai,17f00ec43ba35f3914fea322ad84f4b1a888500f,Shao_Dataset.csv
36,chidiwilliams,buzz,,Own_Extracted_Dataset.xlsx
145,chinesewebman,doc-chatbot,d17caf9f0414bc7bc802774de1f13c5d746966fb,Shao_Dataset.csv
146,codeacme17,examor,891ed727b711c6b59e3c6899f7fa08f0df773c30,Shao_Dataset.csv
37,comet-ml,opik,,Own_Extracted_Dataset.xlsx
147,cpacker,MemGPT,6e2c92e3abda617b9efc96c88b582195579717c8,Shao_Dataset.csv
148,daveshap,ChromaDB_Chatbot_Public,ad7df3a7391c07ab59298e48ac05c24c8698698b,Shao_Dataset.csv
149,davideuler,gpt4-pdf-chatbot-langchain-chromadb,5c0f8daba056483afebf9e8a46a988e07c58ee99,Shao_Dataset.csv
38,deepset-ai,haystack,,Own_Extracted_Dataset.xlsx
150,dory111111,babyagi-streamlit,088aa7376c39d541543a3518df8bd5db46633f51,Shao_Dataset.csv
151,dotneet,smart-chatbot-ui,6a07b944b73ca53996a1a06cdf65ab19ed2a19ab,Shao_Dataset.csv
152,dotvignesh,PDFChat,bb46824b7835386d39f76cd0c70b427dc42997c9,Shao_Dataset.csv
153,edik7333,Auto-GPT-llama-cpp,2b4bf189825c0abe28bf6f020b87921d82636d67,Shao_Dataset.csv
154,edrickdch,chat-pdf,bf5343fef116a360424245b1c154edc2bac07bfd,Shao_Dataset.csv
155,eosphoros-ai,DB-GPT,1519df7f0179be0957008e75fd27eafb9d6890f1,Shao_Dataset.csv
39,facebookresearch,DiT,,Own_Extracted_Dataset.xlsx
40,facebookresearch,detr,,Own_Extracted_Dataset.xlsx
41,facebookresearch,dino,,Own_Extracted_Dataset.xlsx
42,facebookresearch,vggt,,Own_Extracted_Dataset.xlsx
43,facebookresearch,xformers,,Own_Extracted_Dataset.xlsx
156,fangyinc,DB-GPT,f317740d5557b56899d1a3e786ca7cc583fdd700,Shao_Dataset.csv
157,fendouai,babyagi_zh,bc907f1d94cd0a6b57db5f6e2b1d0ffbabf6b864,Shao_Dataset.csv
44,fighting41love,funNLP,,Own_Extracted_Dataset.xlsx
45,fishaudio,fish-speech,,Own_Extracted_Dataset.xlsx
158,frasergr,anything-llm,5fa61458724fd019a15e243b8db8e71bead950b5,Shao_Dataset.csv
159,gabacode,ChatBot-PDF,320476ac687db4ea0e9051b4b25ef6904d3a014d,Shao_Dataset.csv
160,goetzrobin,MemGPT,0e8918e79935d24210991d78da09bf0e4c796d2e,Shao_Dataset.csv
161,groovybits,gaib,887e8edf7f6ce112af4790ac5f45c629b05e3225,Shao_Dataset.csv
162,h2oai,h2ogpt,15f3a2d564541020f78cfc83bc90722dcda8a960,Shao_Dataset.csv
163,hamelsmu,chat-langchain,8252cc469335da08230afb049cdc7dfb178c328b,Shao_Dataset.csv
47,haotian-liu,LLaVA,,Own_Extracted_Dataset.xlsx
48,hiyouga,LLaMA-Factory,,Own_Extracted_Dataset.xlsx
164,hlohaus,Agent-LLM,d8a46dacea35c6224effd3e733d5c085bea1949a,Shao_Dataset.csv
49,huggingface,peft,,Own_Extracted_Dataset.xlsx
50,huggingface,pytorch-image-models,,Own_Extracted_Dataset.xlsx
51,huggingface,transformers,,Own_Extracted_Dataset.xlsx
52,huggingface,trl,,Own_Extracted_Dataset.xlsx
165,hzg0601,langchain-ChatGLM-annotation,da8085ba5fcb89a2e665cd3fde28cdafa38b9c29,Shao_Dataset.csv
166,iMagist486,ElasticSearch-Langchain-Chatglm2,304d3d204a00782a0078fd76be232fa5802f4307,Shao_Dataset.csv
167,imartinez,privateGPT,2f3aab9cfdc139f399387dbb90300d5a8bf8d2f1,Shao_Dataset.csv
53,intel,ipex-llm,,Own_Extracted_Dataset.xlsx
54,jacobgil,pytorch-grad-cam,,Own_Extracted_Dataset.xlsx
55,jadore801120,attention-is-all-you-need-pytorch,,Own_Extracted_Dataset.xlsx
56,jessevig,bertviz,,Own_Extracted_Dataset.xlsx
57,jina-ai,clip-as-service,,Own_Extracted_Dataset.xlsx
168,joaocarlosleme,chat-langchain,362e71c016d70022a6b1d067e0cddbe1a6ef496e,Shao_Dataset.csv
169,junruxiong,IncarnaMind,75564a3bf08d0006387889cdc9a76fc509ededd8,Shao_Dataset.csv
58,jzhang38,TinyLlama,,Own_Extracted_Dataset.xlsx
59,karpathy,minGPT,,Own_Extracted_Dataset.xlsx
60,khoj-ai,khoj,,Own_Extracted_Dataset.xlsx
170,kroll-software,babyagi4all,3dc42659eb5cb51dbea71b565ce09f61a130cc20,Shao_Dataset.csv
61,labmlai,annotated_deep_learning_paper_implementations,,Own_Extracted_Dataset.xlsx
171,labring,FastGPT,05bf1b22653f8699b85098db3e86a7f29bdc2895,Shao_Dataset.csv
172,langchain-ai,chat-langchain,a875a649109ad7c3d68d7e9b75508f687e627ca4,Shao_Dataset.csv
62,lss233,kirara-ai,,Own_Extracted_Dataset.xlsx
63,lucidrains,DALLE2-pytorch,,Own_Extracted_Dataset.xlsx
64,lucidrains,PaLM-rlhf-pytorch,,Own_Extracted_Dataset.xlsx
65,lucidrains,vit-pytorch,,Own_Extracted_Dataset.xlsx
66,ludwig-ai,ludwig,,Own_Extracted_Dataset.xlsx
173,marella,chatdocs,ff0f962972ba65f0bccbf2e81875a95bae7473b5,Shao_Dataset.csv
174,matigumma,bb.agi,9af4396c1c97b0de3fc47ceb35ff8e4489be6254,Shao_Dataset.csv
175,mattzcarey,code-review-gpt,87bce4d443c869eb3da09e5a2c11b1a79c5e5d6a,Shao_Dataset.csv
176,mayooear,gpt4-pdf-chatbot-langchain,66d183f6b207fa1d92153a430c620c58b01e9b1c,Shao_Dataset.csv
177,mayooear,private-chatbot-mpt30b-langchain,dbb888a2d5f1eaf6256ffab53e4ec0b766a86a3f,Shao_Dataset.csv
178,mckaywrigley,chatbot-ui,f4ec4df77f650fa650535c6b934d4a1775cf491a,Shao_Dataset.csv
179,menloparklab,privateGPT-app,028c81038dec2f923477812f7c7f7d48706fa7a9,Shao_Dataset.csv
67,meta-llama,llama,,Own_Extracted_Dataset.xlsx
68,meta-llama,llama-models,,Own_Extracted_Dataset.xlsx
69,meta-llama,llama-stack,,Own_Extracted_Dataset.xlsx
70,meta-llama,llama3,,Own_Extracted_Dataset.xlsx
71,microsoft,Swin-Transformer,,Own_Extracted_Dataset.xlsx
72,microsoft,markitdown,,Own_Extracted_Dataset.xlsx
180,miurla,babyagi-ui,3f71b1bd4edea6eb2a063d2ccf540fa309114925,Shao_Dataset.csv
73,modelscope,ms-swift,,Own_Extracted_Dataset.xlsx
74,mouredev,Hello-Python,,Own_Extracted_Dataset.xlsx
75,neuml,txtai,,Own_Extracted_Dataset.xlsx
76,openai,baselines,,Own_Extracted_Dataset.xlsx
77,openai,openai-agents-python,,Own_Extracted_Dataset.xlsx
78,openai,openai-python,,Own_Extracted_Dataset.xlsx
79,openai,swarm,,Own_Extracted_Dataset.xlsx
80,openai,tiktoken,,Own_Extracted_Dataset.xlsx
181,oshoura,IslamAI,d39fad996040c1fe7917b330996620380b9028af,Shao_Dataset.csv
81,oumi-ai,oumi,,Own_Extracted_Dataset.xlsx
82,qodo-ai,pr-agent,,Own_Extracted_Dataset.xlsx
83,qubvel-org,segmentation_models.pytorch,,Own_Extracted_Dataset.xlsx
182,ranfysvalle02,chatdocs-mdb,6322d0ea03d2a3a14fbfaa7ca9f12104e733a72f,Shao_Dataset.csv
183,realminchoi,babyagi-langchain,8173232f8abd09f9b9f8942f0b1cd44327cf66b7,Shao_Dataset.csv
