owner,repo,files_py,total_loc,total_functions,total_classes,total_assignments,total_pipelines,total_custom_pipeline_classes,max_function_depth,has_dynamic_construct_any,functions_per_kloc,assignments_per_kloc,pipelines_per_kloc,functions_per_file,complexity_score,size_bucket
Josh-XT,AGiXT,32,2907,172,45,611,0,0,1,True,59.168,210.182,0.0,5.375,0.149,small
X-D-Lab,LangChain-ChatGLM-Webui,12,1640,55,10,323,2,0,1,True,33.537,196.951,1.22,4.583,0.207,small
openai,swarm,61,3433,151,20,530,0,0,2,True,43.985,154.384,0.0,2.475,0.216,small
0xk1h0,PentestGPT,47,5230,132,51,717,0,0,2,True,25.239,137.094,0.0,2.809,0.22,small
vmayoral,PentestGPT,50,4869,159,37,710,0,0,2,True,32.656,145.82,0.0,3.18,0.224,small
Vidminas,chatdocs-streamlit,20,969,43,5,150,2,0,1,True,44.376,154.799,2.064,2.15,0.226,small
LlamaFamily,Llama-Chinese,18,3654,64,13,601,0,0,2,True,17.515,164.477,0.0,3.556,0.229,small
jacobgil,pytorch-grad-cam,43,3125,167,50,608,0,0,2,True,53.44,194.56,0.0,3.884,0.232,small
ymcui,Chinese-LLaMA-Alpaca,18,3809,81,22,793,0,0,2,True,21.265,208.191,0.0,4.5,0.239,small
RayVentura,ShortGPT,68,4783,305,42,1074,0,0,2,True,63.768,224.545,0.0,4.485,0.239,small
TheR1D,shell_gpt,28,2620,141,18,464,0,0,2,True,53.817,177.099,0.0,5.036,0.245,small
jadore801120,attention-is-all-you-need-pytorch,13,1821,77,13,395,0,0,2,True,42.284,216.914,0.0,5.923,0.255,small
ExpressGit,langchain-ChatGLM,37,4292,179,37,784,1,0,2,True,41.705,182.665,0.233,4.838,0.256,small
edik7333,Auto-GPT-llama-cpp,43,3919,208,25,582,1,0,2,True,53.075,148.507,0.255,4.837,0.257,small
EleutherAI,gpt-neo,19,3444,131,1,905,0,0,3,False,38.037,262.776,0.0,6.895,0.266,small
bentoml,OpenLLM,12,2135,92,15,235,0,0,3,False,43.091,110.07,0.0,7.667,0.275,small
marella,chatdocs,14,606,26,2,91,2,0,2,False,42.904,150.165,3.3,1.857,0.29,small
lucidrains,PaLM-rlhf-pytorch,13,3194,143,21,624,0,0,2,True,44.771,195.366,0.0,11.0,0.312,small
Byaidu,PDFMathTranslate,16,5169,198,49,883,0,0,2,True,38.305,170.826,0.0,12.375,0.327,small
facebookresearch,dino,12,3782,149,23,881,1,0,2,True,39.397,232.946,0.264,12.417,0.342,small
SYSTRAN,faster-whisper,20,3975,103,13,681,8,1,2,True,25.912,171.321,2.013,5.15,0.356,small
facebookresearch,detr,28,4364,232,49,1162,0,0,3,True,53.162,266.269,0.0,8.286,0.381,small
stas00,ml-engineering,35,5494,243,25,735,0,0,4,True,44.23,133.782,0.0,6.943,0.466,small
