project,rule,alerts
Shubhamsaboo__awesome-llm-apps,Unbounded Max Metrics (UMM),24
Significant-Gravitas__AutoGPT,LLM Temperature Not Explicitly Set(TNES),18
Significant-Gravitas__AutoGPT,No Model Version Pinning (NMVP),4
Significant-Gravitas__AutoGPT,No Structured Output (NSO),16
Significant-Gravitas__AutoGPT,No System Message (NSM),5
Significant-Gravitas__AutoGPT,Unbounded Max Metrics (UMM),9
SolaceDev__pr-agent,LLM Temperature Not Explicitly Set(TNES),2
SolaceDev__pr-agent,Unbounded Max Metrics (UMM),2
TheR1D__shell_gpt,LLM Temperature Not Explicitly Set(TNES),1
TransformerOptimus__SuperAGI,No Structured Output (NSO),1
TransformerOptimus__SuperAGI,No System Message (NSM),1
TransformerOptimus__SuperAGI,Unbounded Max Metrics (UMM),2
UKPLab__sentence-transformers,No Model Version Pinning (NMVP),8
Upsonic__Upsonic,LLM Temperature Not Explicitly Set(TNES),2
Upsonic__Upsonic,No Model Version Pinning (NMVP),2
VTSTech__localagi,LLM Temperature Not Explicitly Set(TNES),1
VTSTech__localagi,No Model Version Pinning (NMVP),2
VTSTech__localagi,No Structured Output (NSO),1
VTSTech__localagi,Unbounded Max Metrics (UMM),2
Vidminas__chatdocs-streamlit,LLM Temperature Not Explicitly Set(TNES),3
Vidminas__chatdocs-streamlit,No Model Version Pinning (NMVP),2
Vidminas__chatdocs-streamlit,Unbounded Max Metrics (UMM),2
X-D-Lab__LangChain-ChatGLM-Webui,No Model Version Pinning (NMVP),4
abetlen__llama-cpp-python,LLM Temperature Not Explicitly Set(TNES),2
abetlen__llama-cpp-python,No Model Version Pinning (NMVP),2
abetlen__llama-cpp-python,No Structured Output (NSO),2
abetlen__llama-cpp-python,No System Message (NSM),1
abetlen__llama-cpp-python,Unbounded Max Metrics (UMM),1
activeloopai__deeplake,LLM Temperature Not Explicitly Set(TNES),6
activeloopai__deeplake,Unbounded Max Metrics (UMM),4
ai8hyf__babyagi,No Structured Output (NSO),2
ai8hyf__babyagi,No System Message (NSM),1
aigeek0x0__chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,LLM Temperature Not Explicitly Set(TNES),1
aigeek0x0__chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,Unbounded Max Metrics (UMM),1
alejandro-ao__ask-multiple-pdfs,LLM Temperature Not Explicitly Set(TNES),1
alejandro-ao__ask-multiple-pdfs,Unbounded Max Metrics (UMM),1
amauryfischer__Auto-GPT-WebUI,No Structured Output (NSO),2
amauryfischer__Auto-GPT-WebUI,No System Message (NSM),1
arc53__DocsGPT,LLM Temperature Not Explicitly Set(TNES),4
arc53__DocsGPT,No Model Version Pinning (NMVP),2
arc53__DocsGPT,No Structured Output (NSO),2
arc53__DocsGPT,No System Message (NSM),1
arc53__DocsGPT,Unbounded Max Metrics (UMM),4
benjaminearlevans__Chatgpt-babyagi-plugin,LLM Temperature Not Explicitly Set(TNES),1
benjaminearlevans__Chatgpt-babyagi-plugin,No Model Version Pinning (NMVP),2
benjaminearlevans__Chatgpt-babyagi-plugin,No Structured Output (NSO),2
benjaminearlevans__Chatgpt-babyagi-plugin,No System Message (NSM),1
benjaminearlevans__Chatgpt-babyagi-plugin,Unbounded Max Metrics (UMM),1
bentoml__OpenLLM,LLM Temperature Not Explicitly Set(TNES),1
bentoml__OpenLLM,No Structured Output (NSO),1
bentoml__OpenLLM,No System Message (NSM),1
bentoml__OpenLLM,Unbounded Max Metrics (UMM),1
bigscience-workshop__petals,No Model Version Pinning (NMVP),1
c121914yu__FastGPT,No Model Version Pinning (NMVP),2
camel-ai__camel,LLM Temperature Not Explicitly Set(TNES),1
camel-ai__camel,No Structured Output (NSO),1
camel-ai__camel,No System Message (NSM),1
camel-ai__camel,Unbounded Max Metrics (UMM),1
chatchat-space__Langchain-Chatchat,LLM Temperature Not Explicitly Set(TNES),29
chatchat-space__Langchain-Chatchat,No Model Version Pinning (NMVP),6
chatchat-space__Langchain-Chatchat,No Structured Output (NSO),11
chatchat-space__Langchain-Chatchat,No System Message (NSM),6
chatchat-space__Langchain-Chatchat,Unbounded Max Metrics (UMM),11
chidiwilliams__buzz,LLM Temperature Not Explicitly Set(TNES),7
chidiwilliams__buzz,No Structured Output (NSO),1
chidiwilliams__buzz,Unbounded Max Metrics (UMM),1
chinesewebman__doc-chatbot,No Model Version Pinning (NMVP),1
chinesewebman__doc-chatbot,No Structured Output (NSO),1
chinesewebman__doc-chatbot,No System Message (NSM),1
comet-ml__opik,LLM Temperature Not Explicitly Set(TNES),82
comet-ml__opik,No Model Version Pinning (NMVP),13
comet-ml__opik,No Structured Output (NSO),34
comet-ml__opik,No System Message (NSM),11
comet-ml__opik,Unbounded Max Metrics (UMM),48
cpacker__MemGPT,LLM Temperature Not Explicitly Set(TNES),3
cpacker__MemGPT,No Structured Output (NSO),3
cpacker__MemGPT,No System Message (NSM),1
cpacker__MemGPT,Unbounded Max Metrics (UMM),3
daveshap__ChromaDB_Chatbot_Public,No Structured Output (NSO),1
daveshap__ChromaDB_Chatbot_Public,No System Message (NSM),1
daveshap__ChromaDB_Chatbot_Public,Unbounded Max Metrics (UMM),1
deepset-ai__haystack,LLM Temperature Not Explicitly Set(TNES),7
deepset-ai__haystack,No Model Version Pinning (NMVP),6
deepset-ai__haystack,No Structured Output (NSO),1
deepset-ai__haystack,No System Message (NSM),1
deepset-ai__haystack,Unbounded Max Metrics (UMM),1
dory111111__babyagi-streamlit,No Structured Output (NSO),2
dory111111__babyagi-streamlit,No System Message (NSM),1
dotvignesh__PDFChat,LLM Temperature Not Explicitly Set(TNES),2
dotvignesh__PDFChat,Unbounded Max Metrics (UMM),2
edik7333__Auto-GPT-llama-cpp,No Structured Output (NSO),2
edik7333__Auto-GPT-llama-cpp,No System Message (NSM),1
edrickdch__chat-pdf,Unbounded Max Metrics (UMM),1
eosphoros-ai__DB-GPT,No Model Version Pinning (NMVP),8
fangyinc__DB-GPT,LLM Temperature Not Explicitly Set(TNES),2
fangyinc__DB-GPT,No Model Version Pinning (NMVP),22
fangyinc__DB-GPT,No Structured Output (NSO),4
fangyinc__DB-GPT,No System Message (NSM),2
fangyinc__DB-GPT,Unbounded Max Metrics (UMM),1
fendouai__babyagi_zh,No Structured Output (NSO),2
fendouai__babyagi_zh,No System Message (NSM),1
gabacode__ChatBot-PDF,Unbounded Max Metrics (UMM),1
goetzrobin__MemGPT,LLM Temperature Not Explicitly Set(TNES),6
goetzrobin__MemGPT,No Structured Output (NSO),3
goetzrobin__MemGPT,No System Message (NSM),3
goetzrobin__MemGPT,Unbounded Max Metrics (UMM),3
h2oai__h2ogpt,LLM Temperature Not Explicitly Set(TNES),47
h2oai__h2ogpt,No Model Version Pinning (NMVP),53
h2oai__h2ogpt,No Structured Output (NSO),16
h2oai__h2ogpt,No System Message (NSM),8
h2oai__h2ogpt,Unbounded Max Metrics (UMM),15
haotian-liu__LLaVA,LLM Temperature Not Explicitly Set(TNES),1
haotian-liu__LLaVA,No Model Version Pinning (NMVP),24
haotian-liu__LLaVA,No Structured Output (NSO),4
hiyouga__LLaMA-Factory,LLM Temperature Not Explicitly Set(TNES),6
hiyouga__LLaMA-Factory,No Model Version Pinning (NMVP),32
hiyouga__LLaMA-Factory,No Structured Output (NSO),4
hiyouga__LLaMA-Factory,No System Message (NSM),2
hiyouga__LLaMA-Factory,Unbounded Max Metrics (UMM),4
hlohaus__Agent-LLM,No Model Version Pinning (NMVP),9
hlohaus__Agent-LLM,No Structured Output (NSO),3
hlohaus__Agent-LLM,No System Message (NSM),1
huggingface__peft,No Model Version Pinning (NMVP),456
huggingface__trl,LLM Temperature Not Explicitly Set(TNES),2
huggingface__trl,No Model Version Pinning (NMVP),304
huggingface__trl,No Structured Output (NSO),1
huggingface__trl,No System Message (NSM),1
